Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,Genres
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,"39,04,70,936","30,716","19,66,31,588",92,"8,42,74,754","17,13,126",Rock
Not Like Us,Not Like Us,Kendrick Lamar,05-04-2024,USUG12400910,2,545.9,"32,37,03,884","28,113","17,45,97,137",92,"11,63,47,040","34,86,739",pop
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,"60,13,09,283","54,331","21,16,07,669",92,"12,25,99,116","22,28,730",jazz
Flowers,Flowers - Single,Miley Cyrus,01-12-2023,USSM12209777,4,444.9,"2,03,12,80,633","2,69,802","13,65,69,078",85,"1,09,61,00,899","1,06,29,796",hip hop
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,"10,70,34,922","7,223","15,14,69,874",88,"7,73,73,957","36,70,188",Rythem
Lovin On Me,Lovin On Me,Jack Harlow,11-10-2023,USAT22311371,6,410.1,"67,06,65,438","1,05,892","17,54,21,034",83,"13,11,48,091","13,92,593",Blues
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,"90,01,58,751","73,118","20,15,85,714",86,"30,87,23,145","41,20,760",Folk Music
Gata Only,Gata Only,FloyyMenor,02-02-2024,QZL382406049,8,375.8,"67,50,79,153","40,094","21,12,36,940",92,"22,83,82,568","14,39,495",Disco
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,06-09-2024,TCJPA2463708,9,355.7,"1,65,30,18,119",1,15,,,,Rock
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,"9,06,76,573","10,400","18,41,99,419",86,"3,27,35,244","9,88,682",pop
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,05-10-2024,USUM72404990,11,322.1,"25,00,80,413","16,219","16,87,66,158",91,"3,22,29,063","5,50,191",jazz
The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,320.2,"11,11,55,129",2,"2,63,767",,,,hip hop
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316.3,"22,16,36,195","13,800","19,72,80,692",92,"4,00,22,524","13,07,290",Rythem
Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,308.2,"35,51,86,436","43,025","10,81,68,634",88,"9,80,81,493","14,56,177",Blues
bathroom floor,bathroom floor,Kids With Buns,10-07-2022,NLC242100307,15,301.6,"2,97,185",277,"24,445",12,"6,73,65,02,312","1,67,85,489",Folk Music
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,"92,56,55,569","1,03,605","7,99,44,921",79,"93,43,02,031","42,94,166",Disco
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297.6,"39,54,33,400","12,784","17,79,32,568",89,"10,46,73,836","24,84,083",Rock
greedy,greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,"1,25,85,69,694","1,05,218","19,88,45,580",87,"14,16,46,818","15,14,837",pop
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292.6,"9,12,72,461","6,499","5,22,87,548",86,"1,60,38,053","5,69,377",jazz
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292,"3,30,18,14,535","4,07,119","16,97,83,402",87,"80,08,99,315","91,01,589",Rock
Paint The Town Red,Paint The Town Red,Doja Cat,08-04-2023,USRC12300907,21,290.5,"1,06,53,99,331","1,70,890","12,17,12,197",78,"24,09,70,670","27,49,668",pop
Espresso,Espresso,Sabrina Carpenter,04-12-2024,USUM72403305,22,281.5,"54,78,82,871","24,425","26,23,43,414",95,"10,75,50,212","18,25,761",jazz
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,279,"1,65,55,75,417",10,655,,,,hip hop
